cstat_name,donation_name,eid,eid_cnt,output_filename
NORTHWEST PIPELINE CORP,NORTHWEST PIPELINE CORP,[4409389],1,NORTHWEST_PIPELINE_CORP.csv
SOLUTIA INC,SOLUTIA INC,"[37050293, 4588]",2,SOLUTIA_INC.csv
MBNA CORP,MBNA CORP,"[1997583, 11338588]",2,MBNA_CORP.csv
MAYTAG CORP,MAYTAG CORP,"[3539570, 8519439, 6300723, 3511715, 6502952, 6637623]",6,MAYTAG_CORP.csv
MAXXAM INC,MAXXAM INC,[1656],1,MAXXAM_INC.csv
ASPEN GROUP INC,ASPEN GROUP INC,[7513943],1,ASPEN_GROUP_INC.csv
SOLECTRON CORP,SOLECTRON CORP,"[1217344, 1762940]",2,SOLECTRON_CORP.csv
MAUI LAND & PINEAPPLE CO,MAUI LAND & PINEAPPLE CO,[1654],1,MAUI_LAND_PINEAPPLE_CO.csv
SONOCO PRODUCTS CO,SONOCO PRODUCTS CO,"[7446669, 31668169, 7392235, 2385068, 7478904]",5,SONOCO_PRODUCTS_CO.csv
MCGRATH RENTCORP,MCGRATH RENTCORP,[1373988],1,MCGRATH_RENTCORP.csv
CLAYTON HOMES INC,CLAYTON HOMES INC,[5952435],1,CLAYTON_HOMES_INC.csv
SONOSITE INC,SONOSITE INC,"[41695664, 15635472]",2,SONOSITE_INC.csv
MATTEL INC,MATTEL INC,[1653],1,MATTEL_INC.csv
CLEAN ENERGY FUELS CORP,CLEAN ENERGY FUELS CORP,[11128],1,CLEAN_ENERGY_FUELS_CORP.csv
SOUTHDOWN INC,SOUTHDOWN INC,"[3920786, 2424]",2,SOUTHDOWN_INC.csv
MATRIA HEALTHCARE INC,MATRIA HEALTHCARE INC,[1330571],1,MATRIA_HEALTHCARE_INC.csv
CITYBANK,CITYBANK,[3467872],1,CITYBANK.csv
SMURFIT-STONE CONTAINER CORP,SMURFIT-STONE CONTAINER CORP,[2410],1,SMURFITSTONE_CONTAINER_CORP.csv
MASTEC INC,MASTEC INC,[2005174],1,MASTEC_INC.csv
MEADWESTVACO CORP,MEADWESTVACO CORP,[1689],1,MEADWESTVACO_CORP.csv
CINERGY CORP,CINERGY CORP,[589],1,CINERGY_CORP.csv
CINTAS CORP,CINTAS CORP,[10725855],1,CINTAS_CORP.csv
